SYMBOL_CODE,SYMBOL_NAME,MARKET_TYPE,ASSETS_TYPE,PUBLIC_DATE,INDUSTRY
有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode
080375　台積電凱基38購21,TW24Z0803757,2024/02/22,上市,,RWSCCA
080376　台積電凱基39購07,TW24Z0803765,2024/02/22,上市,,RWSCCA
080377　台積電凱基39購08,TW24Z0803773,2024/02/22,上市,,RWSCCA
080378　技嘉凱基3C購01,TW24Z0803781,2024/02/22,上市,,RWSCCA
080379　建準凱基39購04,TW24Z0803799,2024/02/22,上市,,RWSCCA
08037T　京鼎國票3B售02,TW24Z08037T3,2024/04/26,上市,,RWSCPE
080380　鉅祥凱基38購02,TW24Z0803807,2024/02/22,上市,,RWSCCA
080381　緯創凱基38購15,TW24Z0803815,2024/02/22,上市,,RWSCCA
080382　緯創凱基38購16,TW24Z0803823,2024/02/22,上市,,RWSCCA
080383　創意凱基38購13,TW24Z0803831,2024/02/22,上市,,RWSCCA
